,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,Max Latency (s),0.005449,0.040393,0.034819,0.004875,0.003079,0.003079,0.040393,0.017723,0.00855,0.007511,0.04208,0.007341,0.007284,0.007284,0.04208,0.0145532,0.03872,0.03724,0.040401,0.017629,0.063211,0.017629,0.063211,0.0394402,,,,,,,,,Max Latency (s),0.017723,0.0145532,0.0394402
,Latency StdDev (s),0.000166,0.000177,0.000179,0.000157,0.00018,0.000157,0.00018,0.0001718,0.000457,0.000458,0.000477,0.000458,0.000459,0.000457,0.000477,0.0004618,0.000699,0.000712,0.000761,0.000621,0.000797,0.000621,0.000797,0.000718,,,,,,,,,Latency StdDev (s),0.0001718,0.0004618,0.000718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accept all + decode qname,perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cycles,"1,212,613","1,932,387","1,657,728","1,769,794","1,561,392",1212613,1932387,1626782.8,"1,976,856","2,036,909","2,002,273","2,163,165","1,981,238",1976856,2163165,2032088.2,,,,,,,,,,,,,,,,,,,,
,instructions,"974,532","1,066,899","998,153","991,940","998,325",974532,1066899,1005969.8,"1,003,986","1,016,533","1,016,836","1,006,258","995,377",995377,1016836,1007798,,,,,,,,,,,,,,,,,,,,
,cache-references,"358,075","385,543","371,550","370,642","371,189",358075,385543,371399.8,"378,084","378,556","382,875","373,754","369,279",369279,382875,376509.6,,,,,,,,,,,,,,,,,,,,
,cache-misses,"7,785","8,729","8,576","8,272","7,922",7785,8729,8256.8,"8,898","8,810","8,921","9,052","8,444",8444,9052,8825,,,,,,,,,,,,,,,,,,,,
,branches,"192,842","219,143","196,703","196,322","196,637",192842,219143,200329.4,"197,842","200,591","199,859","197,463","195,993",195993,200591,198349.6,,,,,,,,,,,,,,,,,,,,
,branch-misses,"9,326","11,269","11,179","11,147","10,702",9326,11269,10724.6,"11,268","10,571","11,513","9,642","9,870",9642,11513,10572.8,,,,,,,,,,,,,,,,,,,,
,page-faults,22,22,23,23,22,22,23,22.4,29,29,30,30,29,29,30,29.4,,,,,,,,,,,,,,,,,,,,
,context-switches,2,3,3,2,2,2,3,2.4,2,3,2,1,1,1,3,1.8,,,,,,,,,,,,,,,,,,,,
,cpu-migrations,0,0,1,0,0,0,1,0.2,0,0,1,0,0,0,1,0.2,,,,,,,,,,,,,,,,,,,,
,LLC-load-misses,"5,838","7,771","9,038","7,708","7,882",5838,9038,7647.4,"10,092","9,842","11,472","11,047","11,311",9842,11472,10752.8,,,,,,,,,,,,,,,,,,,,
,time elapsed (s),33.03418879,32.03209196,32.0361648,31.03104926,32.03243162,31.03104926,33.03418879,32.03318529,135.0832154,133.0784987,134.0774003,135.0818614,136.0840584,133.0784987,136.0840584,134.6810068,,,,,,,,,,,,,,,,,,,,
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,,,,,,,,,,,,
,Queries completed,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,,,,,,,,,,,,
,Queries lost,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,Run time (s),32.667699,31.20674,31.326804,31.025775,31.439817,31.025775,32.667699,31.533367,134.479046,132.675917,133.428077,134.933148,135.326957,132.675917,135.326957,134.168629,,,,,,,,,,,,,,,,,,,,
,Queries per second,153056.3876,160221.7982,159607.7276,161156.3289,159034.0046,153056.3876,161156.3289,158615.2494,37180.51361,37685.81453,37473.37227,37055.38687,36947.55362,36947.55362,37685.81453,37268.52818,,,,,,,,,,,,,,,,,,,,
,Average Latency (s),0.000644,0.000611,0.000616,0.00061,0.000619,0.00061,0.000644,0.00062,0.00261,0.002574,0.002589,0.002622,0.002629,0.002574,0.002629,0.0026048,,,,,,,,,,,,,,,,,,,,
,Min Latency (s),0.000013,0.000013,0.000015,0.000013,0.000013,0.000013,0.000015,0.0000134,0.000036,0.000032,0.000036,0.000038,0.000035,0.000032,0.000038,0.0000354,,,,,,,,,,,,,,,,,,,,
,Max Latency (s),0.00516,0.004712,0.01067,0.006558,0.009679,0.004712,0.01067,0.0073558,0.012028,0.009434,0.010245,0.010746,0.012413,0.009434,0.012413,0.0109732,,,,,,,,,,,,,,,,,,,,
,Latency StdDev (s),0.000089,0.000078,0.000111,0.00008,0.000119,0.000078,0.000119,0.0000954,0.000689,0.000664,0.000681,0.000686,0.000683,0.000664,0.000689,0.0006806,,,,,,,,,,,,,,,,,,,,
Accept All (Worker Threads + Receiver Thread + Batch),perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cycles,2689269,1551809,2179254,1923010,1424686,1424686,2689269,1953605.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,instructions,1270884,991256,990917,1009476,994129,990917,1270884,1051332.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cache-references,455036,374932,374850,381886,371103,371103,455036,391561.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cache-misses,11433,9073,8572,9474,8981,8572,11433,9506.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,branches,246141,194094,195029,197181,195481,194094,246141,205585.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,branch-misses,10918,10900,11574,11890,9854,9854,11890,11027.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,page-faults,22,23,22,23,23,22,23,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,context-switches,2,2,3,3,1,1,3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cpu-migrations,1,0,0,0,0,0,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LLC-load-misses,12128,6892,11109,10238,6622,6622,12128,9397.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,time elapsed (s),74.07378505,72.07505426,72.07533199,71.07116475,72.07236424,71.07116475,74.07378505,72.27354006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Queries completed,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Queries lost,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run time (s),73.720449,71.84308,71.567567,70.111762,72.061756,70.111762,73.720449,71.8609228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Queries per second,67823.78659,69596.12533,69864.04889,71314.71036,69384.93145,67823.78659,71314.71036,69596.72052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Latency (s),0.001449,0.001411,0.001408,0.00138,0.001417,0.00138,0.001449,0.001413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Min Latency (s),0.000024,0.000027,0.000027,0.000024,0.000029,0.000024,0.000029,0.0000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max Latency (s),0.007236,0.006603,0.004646,0.006526,0.005409,0.004646,0.007236,0.006084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latency StdDev (s),0.000274,0.000271,0.000264,0.000249,0.000256,0.000249,0.000274,0.0002628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
