,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,time elapsed (s),31.03288944,31.03800959,32.03438781,32.03335673,34.03962568,31.03288944,34.03962568,32.03565385,130.0769653,133.0817855,134.0852785,134.0852785,134.0800504,130.0769653,134.0852785,133.0818717,32.0326091,32.03501833,32.03790384,32.03790384,31.03379135,31.03379135,32.03790384,31.83544529,,,,,,,,,time elapsed (s),32.03565385,133.0818717,31.83544529
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dnsperf,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,Queries sent,5000000,5000000,5000000
,Queries completed,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,Queries completed,5000000,5000000,5000000
,Queries lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Queries lost,0,0,0
,Run time (s),30.776098,30.941799,31.924824,31.76678,33.109889,30.776098,33.109889,31.703878,129.836169,132.458734,133.610797,133.610797,133.518359,129.836169,133.610797,132.6069712,31.080004,32.014263,31.251471,31.251471,30.753112,30.753112,32.014263,31.2700642,31.432797,31.124177,31.850682,33.645733,35.317257,31.124177,35.317257,32.6741292,Run time (s),31.703878,132.6069712,31.2700642
,Queries per second,162463.7405,161593.7069,156617.9347,157397.13,151012.2852,151012.2852,162463.7405,157816.9595,38510.07033,37747.60523,37422.1254,37422.1254,37448.03365,37422.1254,38510.07033,37709.992,160875.1402,156180.3875,159992.4688,159992.4688,162585.1719,156180.3875,162585.1719,159925.1274,159069.5222,160646.8181,156982.5098,148607.2543,141573.8487,141573.8487,160646.8181,153375.9906,Queries per second,157816.9595,37709.992,159925.1274
,Average Latency (s),0.000611,0.000613,0.00062,0.000626,0.000648,0.000611,0.000648,0.0006236,0.002525,0.002578,0.002597,0.002597,0.002599,0.002525,0.002599,0.0025792,0.000616,0.00063,0.000619,0.000619,0.000611,0.000611,0.00063,0.000619,0.000622,0.000614,0.000627,0.000655,0.000683,0.000614,0.000683,0.0006402,Average Latency (s),0.0006236,0.0025792,0.000619
,Min Latency (s),0.000018,0.000025,0.00002,0.000024,0.000021,0.000018,0.000025,0.0000216,0.000036,0.000032,0.00004,0.00004,0.000033,0.000032,0.00004,0.0000362,0.000016,0.000016,0.000016,0.000016,0.000044,0.000016,0.000044,0.0000216,0.000012,0.000014,0.000015,0.000011,0.000014,0.000011,0.000015,0.0000132,Min Latency (s),0.0000216,0.0000362,0.0000216
,Max Latency (s),0.002329,0.012463,0.005351,0.006751,0.003404,0.002329,0.012463,0.0060596,0.012831,0.011559,0.010697,0.010697,0.011842,0.010697,0.012831,0.0115252,0.005262,0.004786,0.011684,0.011684,0.002022,0.002022,0.011684,0.0070876,0.004466,0.001833,0.001839,0.004463,0.004467,0.001833,0.004467,0.0034136,Max Latency (s),0.0060596,0.0115252,0.0070876
